video_id,vehicle_id,composite_id,class,violations,violation_count,total_fine,currency,speed_limit_kmh,max_speed_kmh,avg_speed_kmh,first_violation_frame,first_violation_sec,best_frame_id
teammate_video,1,teammate_video_1,car,lane_change,1,500.0,INR,60.0,,,14,0.47,0
teammate_video,2,teammate_video_2,car,,0,0.0,INR,60.0,,,,,22
teammate_video,3,teammate_video_3,car,speeding,1,1442.5,INR,60.0,77.7,48.5,61,2.03,96
teammate_video,4,teammate_video_4,rickshaw,,0,0.0,INR,60.0,,,,,31
teammate_video,5,teammate_video_5,bike,,0,0.0,INR,60.0,,,,,65
teammate_video,6,teammate_video_6,car,speeding,1,1377.5,INR,60.0,75.1,42.7,23,0.77,72
teammate_video,7,teammate_video_7,rickshaw,,0,0.0,INR,60.0,,,,,2
teammate_video,8,teammate_video_8,bike,speeding,1,713.0,INR,60.0,74.2,44.1,19,0.63,38
teammate_video,9,teammate_video_9,car,lane_change;tailgating,2,1250.0,INR,60.0,,,51,1.7,155
teammate_video,10,teammate_video_10,car,speeding,1,1440.0,INR,60.0,77.6,50.1,54,1.8,110
teammate_video,11,teammate_video_11,bike,lane_change;speeding,2,981.0,INR,60.0,75.4,54.4,27,0.9,75
teammate_video,12,teammate_video_12,bike,,0,0.0,INR,60.0,,,,,12
teammate_video,13,teammate_video_13,bike,,0,0.0,INR,60.0,,,,,176
teammate_video,14,teammate_video_14,car,,0,0.0,INR,60.0,,,,,71
teammate_video,15,teammate_video_15,bike,,0,0.0,INR,60.0,,,,,125
teammate_video,16,teammate_video_16,car,,0,0.0,INR,60.0,,,,,287
teammate_video,17,teammate_video_17,bike,,0,0.0,INR,60.0,,,,,62
teammate_video,18,teammate_video_18,car,tailgating,1,750.0,INR,60.0,,,337,11.23,99
teammate_video,19,teammate_video_19,bike,,0,0.0,INR,60.0,,,,,77
teammate_video,20,teammate_video_20,bike,speeding;tailgating,2,1385.5,INR,60.0,95.7,57.7,24,0.8,48
teammate_video,21,teammate_video_21,bike,,0,0.0,INR,60.0,,,,,2
teammate_video,22,teammate_video_22,bike,lane_change;speeding,2,1095.0,INR,60.0,83.0,63.9,279,9.3,322
teammate_video,23,teammate_video_23,car,speeding;tailgating,2,2012.5,INR,60.0,70.5,55.0,61,2.03,187
teammate_video,24,teammate_video_24,bike,,0,0.0,INR,60.0,,,,,153
teammate_video,25,teammate_video_25,car,,0,0.0,INR,60.0,,,,,407
teammate_video,26,teammate_video_26,bike,speeding,1,600.5,INR,60.0,66.7,32.9,19,0.63,25
teammate_video,27,teammate_video_27,bus,tailgating,1,1500.0,INR,60.0,,,281,9.37,291
teammate_video,28,teammate_video_28,car,,0,0.0,INR,60.0,,,,,33
teammate_video,29,teammate_video_29,car,,0,0.0,INR,60.0,,,,,17
teammate_video,30,teammate_video_30,bike,,0,0.0,INR,60.0,,,,,9
teammate_video,31,teammate_video_31,bike,,0,0.0,INR,60.0,,,,,9
teammate_video,32,teammate_video_32,car,speeding,1,1492.5,INR,60.0,79.7,57.6,227,7.57,259
teammate_video,33,teammate_video_33,bike,,0,0.0,INR,60.0,,,,,21
teammate_video,34,teammate_video_34,rickshaw,,0,0.0,INR,60.0,,,,,9
teammate_video,35,teammate_video_35,bike,,0,0.0,INR,60.0,,,,,0
teammate_video,36,teammate_video_36,bike,,0,0.0,INR,60.0,,,,,0
teammate_video,37,teammate_video_37,rickshaw,,0,0.0,INR,60.0,,,,,0
teammate_video,38,teammate_video_38,car,,0,0.0,INR,60.0,,,,,29
teammate_video,39,teammate_video_39,car,,0,0.0,INR,60.0,,,,,0
teammate_video,40,teammate_video_40,bike,,0,0.0,INR,60.0,,,,,15
teammate_video,41,teammate_video_41,car,,0,0.0,INR,60.0,,,,,0
teammate_video,128,teammate_video_128,car,,0,0.0,INR,60.0,,,,,14
teammate_video,129,teammate_video_129,car,,0,0.0,INR,60.0,,,,,44
teammate_video,130,teammate_video_130,bike,,0,0.0,INR,60.0,,,,,50
teammate_video,131,teammate_video_131,bike,,0,0.0,INR,60.0,,,,,30
teammate_video,132,teammate_video_132,rickshaw,,0,0.0,INR,60.0,,,,,14
teammate_video,133,teammate_video_133,rickshaw,,0,0.0,INR,60.0,,,,,52
teammate_video,134,teammate_video_134,rickshaw,,0,0.0,INR,60.0,,,,,45
